"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","ARIMA_model","Beans","Retail","Dambulla","Test",-257.085569118032,272.167727347843,257.085569118032,-59.077587292502,59.077587292502,NA,NA,0.641733319077784
"2","ARIMA_model","Beans","Retail","Pettah","Test",-300.638666217972,313.890584578243,300.638666217972,-54.3313558375708,54.3313558375708,NA,NA,0.567146670535174
"3","ARIMA_model","Beans","Wholesale","Dambulla","Test",-260.848764625254,276.581837032644,260.848764625254,-64.5267814955063,64.5267814955063,NA,NA,0.652347784405886
"4","ARIMA_model","Beans","Wholesale","Pettah","Test",-270.040452878026,285.603956567448,270.040452878026,-57.622468130967,57.622468130967,NA,NA,0.576262258519639
"5","ARIMA_model","Big Onion (Imp)","Retail","Dambulla","Test",-27.0837531172257,32.238835579352,29.340516177268,-17.4789541178036,18.5536031940143,NA,NA,0.184135171633021
"6","ARIMA_model","Big Onion (Imp)","Retail","Pettah","Test",-45.3570173687763,50.4738020268217,46.0851521012747,-25.784299914401,26.0876893862753,NA,NA,0.795297167159857
"7","ARIMA_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-26.4307660320117,31.598079538788,28.8518559367322,-19.6305246672409,20.9047825118306,NA,NA,0.164510163302142
"8","ARIMA_model","Big Onion (Imp)","Wholesale","Pettah","Test",-38.9077262769378,41.5464522691276,38.9077262769378,-28.3069770185388,28.3069770185388,NA,NA,0.819401418380487
"9","ARIMA_model","Brinjal","Retail","Dambulla","Test",-249.000261722331,269.276886639518,249.000261722331,-97.9547558120613,97.9547558120613,NA,NA,0.835349237262657
"10","ARIMA_model","Brinjal","Retail","Pettah","Test",-96.8466944004277,129.760394182999,101.151210637834,-37.171011701114,38.0319149485954,NA,NA,0.775996301996704
"11","ARIMA_model","Brinjal","Wholesale","Dambulla","Test",-249.151210942545,269.40774272599,249.151210942545,-112.070003324413,112.070003324413,NA,NA,0.835796053015406
"12","ARIMA_model","Brinjal","Wholesale","Pettah","Test",-99.5947753440606,133.974023533656,103.993259434454,-49.6198587634532,50.5972996724294,NA,NA,0.806834250506461
"13","ARIMA_model","Cabbage","Retail","Dambulla","Test",-37.9594602626608,42.7715535869552,38.7896348353456,-18.1396367987922,18.4471088627496,NA,NA,0.492247566952323
"14","ARIMA_model","Cabbage","Retail","Pettah","Test",-59.1304347826087,72.1177110852384,59.1304347826087,-22.7699372523669,22.7699372523669,NA,NA,0.828824444553955
"15","ARIMA_model","Cabbage","Wholesale","Dambulla","Test",-37.9138909555955,42.7354485636435,38.7506336902114,-21.1659564744481,21.5145992805381,NA,NA,0.492569315071796
