"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","ETS_model","Beans","Retail","Dambulla","Test",-282.632991264716,298.410322141324,282.632991264716,-64.8286158037795,64.8286158037795,NA,NA,0.668018353505627
"2","ETS_model","Beans","Retail","Pettah","Test",-318.437783765589,331.121325938694,318.437783765589,-57.4030840415151,57.4030840415151,NA,NA,0.549435580165805
"3","ETS_model","Beans","Wholesale","Dambulla","Test",-286.476173225589,302.322942212615,286.476173225589,-70.6532642278998,70.6532642278998,NA,NA,0.671164966730653
"4","ETS_model","Beans","Wholesale","Pettah","Test",-308.941645779282,322.97470283261,308.941645779282,-65.4755188773771,65.4755188773771,NA,NA,0.568938748316309
"5","ETS_model","Big Onion (Imp)","Retail","Dambulla","Test",-37.2458317149866,41.2451166054082,38.1002559566634,-23.6344693369767,24.0413380234895,NA,NA,0.154051835485775
"6","ETS_model","Big Onion (Imp)","Retail","Pettah","Test",-49.6036520092108,55.0255670459199,49.9590073265303,-28.182724281009,28.3307889965588,NA,NA,0.810275554761598
"7","ETS_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-37.1661211738303,41.1587170655388,37.9647066393338,-27.0571814660707,27.4774896058094,NA,NA,0.154560590621693
"8","ETS_model","Big Onion (Imp)","Wholesale","Pettah","Test",-40.8209835921539,43.3680278817162,40.8209835921539,-29.6590853647606,29.6590853647606,NA,NA,0.809711646929013
"9","ETS_model","Brinjal","Retail","Dambulla","Test",-249.315908929049,271.228968641184,249.315908929049,-98.5101101268426,98.5101101268426,NA,NA,0.833013469481773
"10","ETS_model","Brinjal","Retail","Pettah","Test",-113.439574701166,144.303309849839,116.279880578686,-42.4195253864304,42.9875865619343,NA,NA,0.787198812216446
"11","ETS_model","Brinjal","Wholesale","Dambulla","Test",-252.931952226939,275.437904294685,252.931952226939,-114.424393733672,114.424393733672,NA,NA,0.835422566713155
"12","ETS_model","Brinjal","Wholesale","Pettah","Test",-105.352349904607,141.065901771287,109.478649916608,-52.3425298030946,53.259485361317,NA,NA,0.816337941740572
"13","ETS_model","Cabbage","Retail","Dambulla","Test",-34.6579199322275,40.0168122272958,35.8577911792803,-16.6408964846956,17.0852932428633,NA,NA,0.508645144798287
"14","ETS_model","Cabbage","Retail","Pettah","Test",-65.3049880173054,78.7090241896836,65.3049880173054,-25.0644014904382,25.0644014904382,NA,NA,0.838535681744744
"15","ETS_model","Cabbage","Wholesale","Dambulla","Test",-44.9431530572929,50.6721766965941,45.6991170956978,-25.0750073595575,25.3899923755595,NA,NA,0.595107956330421
"16","ETS_model","Cabbage","Wholesale","Pettah","Test",-64.0735156298694,77.3868506429291,64.0735156298694,-30.5400060961788,30.5400060961788,NA,NA,0.836744306280859
"17","ETS_model","Carrot","Retail","Dambulla","Test",80.7374497242575,94.3600209933582,80.7374497242575,22.2206256647944,22.2206256647944,NA,NA,0.604623121828891
"18","ETS_model","Carrot","Retail","Pettah","Test",88.7048957692443,95.9417289297726,88.7048957692443,21.7447674342577,21.7447674342577,NA,NA,0.779193478485733
"19","ETS_model","Carrot","Wholesale","Dambulla","Test",89.3732289237559,100.766895914223,89.3732289237559,27.2006850295367,27.2006850295367,NA,NA,0.555199517287038
"20","ETS_model","Carrot","Wholesale","Pettah","Test",91.952267542852,99.9550199440829,91.952267542852,25.5621621267491,25.5621621267491,NA,NA,0.745618672582869
"21","ETS_model","Green Chilli","Retail","Dambulla","Test",-353.303204562413,397.64893882267,360.192876126464,-60.3713166070102,60.95518707854,NA,NA,0.73007233209789
"22","ETS_model","Green Chilli","Retail","Pettah","Test",-232.608694652149,297.188914233803,258.695651521723,-39.1432957842029,41.5148373185911,NA,NA,0.725528008753213
"23","ETS_model","Green Chilli","Wholesale","Dambulla","Test",-357.947262650082,401.674635701451,364.042920864228,-64.5215302887641,65.0515875247768,NA,NA,0.727282265926266
"24","ETS_model","Green Chilli","Wholesale","Pettah","Test",-273.58342199581,338.888813405066,295.992230767394,-52.2389932641156,54.479874141274,NA,NA,0.750074276078637
"25","ETS_model","Lime","Retail","Dambulla","Test",-72.6304333259258,80.1364713126347,72.6304333259258,-50.8476440290091,50.8476440290091,NA,NA,0.850877128382816
"26","ETS_model","Lime","Retail","Pettah","Test",-24.5652173913043,41.9238439989963,24.5652173913043,-14.0096618357488,14.0096618357488,NA,NA,0.833421754440936
"27","ETS_model","Lime","Wholesale","Dambulla","Test",-74.4531992222056,82.3763223056739,74.4531992222056,-66.9741044261824,66.9741044261824,NA,NA,0.853221479164761
"28","ETS_model","Lime","Wholesale","Pettah","Test",-35.8217086331879,52.646769335596,35.8217086331879,-27.8001738467758,27.8001738467758,NA,NA,0.855134641874788
"29","ETS_model","Potato (Imp)","Retail","Dambulla","Test",-5.19049564484869,17.8432137675188,16.0485251395475,-4.2878619658156,10.1099701736174,NA,NA,0.755880565335048
"30","ETS_model","Potato (Imp)","Retail","Pettah","Test",-10.3161655343833,14.0677748910301,10.6995414081856,-5.73924705070333,5.9309349876045,NA,NA,0.778413279300212
"31","ETS_model","Potato (Imp)","Wholesale","Dambulla","Test",-6.39904203754455,19.072089824771,16.9441152063021,-6.05089107117236,12.3831812234024,NA,NA,0.789926322614598
"32","ETS_model","Potato (Imp)","Wholesale","Pettah","Test",-1.31694795617952,11.1243096327861,7.58152047223797,-1.22184406595782,4.62469426410248,NA,NA,0.442220410899944
"33","ETS_model","Pumpkin","Retail","Dambulla","Test",-4.86065902178805,20.7497749569839,17.320876571241,-6.31083346328374,14.6021350025023,NA,NA,0.851624320481016
"34","ETS_model","Pumpkin","Retail","Pettah","Test",-14.4528291448087,25.4965604209395,14.4528291448087,-9.28779250504729,9.28779250504729,NA,NA,0.880710230009186
"35","ETS_model","Pumpkin","Wholesale","Dambulla","Test",-5.68547716696615,21.7675344083299,18.0457875057826,-10.5295210534036,20.7848145127444,NA,NA,0.856552854304272
"36","ETS_model","Pumpkin","Wholesale","Pettah","Test",-9.49963927405697,15.3497653371206,9.62750536349957,-9.0623526856319,9.16071121597237,NA,NA,0.848136732161362
"37","ETS_model","Snake gourd","Retail","Dambulla","Test",-26.5464091713394,42.1695688513381,30.7987385382462,-11.370067036833,12.6984799963904,NA,NA,0.465553990360048
"38","ETS_model","Snake gourd","Retail","Pettah","Test",-208.913209641571,216.98681332705,208.913209641571,-66.1487876859728,66.1487876859728,NA,NA,0.822711959359304
"39","ETS_model","Snake gourd","Wholesale","Dambulla","Test",-28.3041244138499,41.7149963459947,29.6434899233042,-13.5143099014647,14.0014066307464,NA,NA,0.506274753078659
"40","ETS_model","Snake gourd","Wholesale","Pettah","Test",-212.71412324755,221.677167804371,212.71412324755,-80.4152658069324,80.4152658069324,NA,NA,0.813184355307235
"41","ETS_model","Tomato","Retail","Dambulla","Test",32.9725028641628,70.4886666289373,53.5862919320193,5.91769015821681,11.8168318498255,NA,NA,0.866323757328658
"42","ETS_model","Tomato","Retail","Pettah","Test",21.7568401446879,80.3829133011154,67.5526494445335,1.58249604359738,13.8455901994897,NA,NA,0.823111400352712
"43","ETS_model","Tomato","Wholesale","Dambulla","Test",28.1773233170871,69.0395918408299,52.587477013918,4.93907944313284,12.555719770818,NA,NA,0.872023431711998
"44","ETS_model","Tomato","Wholesale","Pettah","Test",42.528507316205,74.3325147589509,66.2369005278605,7.47517978038893,15.1086912358686,NA,NA,0.762479111601728
"45","ETS_model","Potato (Local)","Retail","Dambulla","Test",32.8727805828625,38.7514817705094,32.8727805828625,9.48949417121328,9.48949417121328,NA,NA,0.693087134265044
"46","ETS_model","Potato (Local)","Retail","Pettah","Test",20.5217389303264,27.8630188219765,20.5217390695322,4.91344896915852,4.91344900579162,NA,NA,0.884418315365478
"47","ETS_model","Potato (Local)","Wholesale","Dambulla","Test",37.5725939792519,43.3425938807297,37.5725939792519,11.5466398081858,11.5466398081858,NA,NA,0.721039792503258
"48","ETS_model","Potato (Local)","Wholesale","Pettah","Test",48.478461076555,54.8837673247861,49.3479914753394,12.2221591361723,12.48565319641,NA,NA,0.850796799594416
"49","ETS_model","Big Onion (Local)","Retail","Dambulla","Test",-29.4241748177068,41.9300270970384,31.2383901040767,-15.9229609240556,16.6380552417014,NA,NA,0.835993484383402
"50","ETS_model","Big Onion (Local)","Retail","Pettah","Test",-61.0581726184265,70.2567203545841,61.0581726184265,-52.3916470627297,52.3916470627297,NA,NA,0.871032849811581
"51","ETS_model","Big Onion (Local)","Wholesale","Dambulla","Test",-29.1633809571707,41.7478560785071,31.06874561479,-17.7527375645258,18.5682875866854,NA,NA,0.835993695889636
"52","ETS_model","Big Onion (Local)","Wholesale","Pettah","Test",-39.1593773465246,45.1740742299126,39.1593773465246,-31.4948334593214,31.4948334593214,NA,NA,0.871514887576891
"53","ETS_model","Red Onion (Imp)","Retail","Dambulla","Test",-34.2489761004283,41.7895831693766,36.8171180652304,-11.2862925337165,11.953342394704,NA,NA,0.477582596154475
"54","ETS_model","Red Onion (Imp)","Retail","Pettah","Test",3.03164045435445,3.13490597132392,3.03164045435445,0.866182986958415,0.866182986958415,NA,NA,0.774245342585704
"55","ETS_model","Red Onion (Imp)","Wholesale","Dambulla","Test",-34.3987997686918,41.9124602364152,36.9539135884275,-12.1364732296635,12.8365044131527,NA,NA,0.477582596154475
"56","ETS_model","Red Onion (Imp)","Wholesale","Pettah","Test",-3.95762773102153,7.88267278301189,5.64110043137925,-1.44086775136624,2.0123773840778,NA,NA,0.825544759837232
"57","ETS_model","Red Onion (Local)","Retail","Dambulla","Test",-14.9751684286729,43.2591312546521,33.4870821185103,-10.8971745379399,17.9676096703273,NA,NA,0.658010240078121
"58","ETS_model","Red Onion (Local)","Retail","Pettah","Test",-84.9738827155691,114.953543955247,84.9738827155691,-63.4839520951662,63.4839520951662,NA,NA,0.884285430475509
"59","ETS_model","Red Onion (Local)","Wholesale","Dambulla","Test",-8.30654916757029,39.5774158918478,30.9675767626421,-8.91833263988582,18.3409643299173,NA,NA,0.632138722159194
"60","ETS_model","Red Onion (Local)","Wholesale","Pettah","Test",-41.5190989842972,43.7499431109234,41.5190989842972,-14.6929890641883,14.6929890641883,NA,NA,0.812872743006751
