"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","NAIVE_model","Beans","Retail","Dambulla","Test",-254.45652173913,269.693507829197,254.45652173913,-58.5074909879653,58.5074909879653,NA,NA,0.641688547046502
"2","NAIVE_model","Beans","Retail","Pettah","Test",-304.347826086957,318.738432588064,304.347826086957,-55.0986947919829,55.0986947919829,NA,NA,0.566668002855327
"3","NAIVE_model","Beans","Wholesale","Dambulla","Test",-254.45652173913,269.693507829197,254.45652173913,-62.9413332122008,62.9413332122008,NA,NA,0.641688547046502
"4","NAIVE_model","Beans","Wholesale","Pettah","Test",-285.869565217391,300.708679867785,285.869565217391,-60.812950424632,60.812950424632,NA,NA,0.570488675587892
"5","NAIVE_model","Big Onion (Imp)","Retail","Dambulla","Test",-37.695652173913,41.6473265491994,38.5652173913044,-23.9036204818512,24.3176991567994,NA,NA,0.149797363008959
"6","NAIVE_model","Big Onion (Imp)","Retail","Pettah","Test",-51.7391304347826,56.9558011703507,51.7391304347826,-29.3332549527859,29.3332549527859,NA,NA,0.809184937212014
"7","NAIVE_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-37.695652173913,41.6473265491994,38.5652173913044,-27.4197279938691,27.8773938977593,NA,NA,0.149797363008959
"8","NAIVE_model","Big Onion (Imp)","Wholesale","Pettah","Test",-41.5217391304348,44.018482086703,41.5217391304348,-30.1506566018459,30.1506566018459,NA,NA,0.80915194484221
"9","NAIVE_model","Brinjal","Retail","Dambulla","Test",-263.913043478261,283.292831720726,263.913043478261,-103.213779947945,103.213779947945,NA,NA,0.828487476025374
"10","NAIVE_model","Brinjal","Retail","Pettah","Test",-90.2173913043478,124.63709640392,94.5652173913043,-35.1614150150648,36.0309802324561,NA,NA,0.782640684542851
"11","NAIVE_model","Brinjal","Wholesale","Dambulla","Test",-263.913043478261,283.292831720726,263.913043478261,-117.963057059064,117.963057059064,NA,NA,0.828487476025374
"12","NAIVE_model","Brinjal","Wholesale","Pettah","Test",-94.5652173913043,130.0431923899,98.9130434782609,-47.7352683863361,48.7014519612153,NA,NA,0.812283242106177
"13","NAIVE_model","Cabbage","Retail","Dambulla","Test",-39.5652173913044,44.3987748557959,40.4347826086956,-18.8899612529981,19.2120224446245,NA,NA,0.50481277041625
"14","NAIVE_model","Cabbage","Retail","Pettah","Test",-59.1304347826087,72.1177110852384,59.1304347826087,-22.7699372523669,22.7699372523669,NA,NA,0.828824444553955
"15","NAIVE_model","Cabbage","Wholesale","Dambulla","Test",-39.5652173913044,44.3987748557959,40.4347826086956,-22.0630412702393,22.425360110819,NA,NA,0.50481277041625
"16","NAIVE_model","Cabbage","Wholesale","Pettah","Test",-59.1304347826087,72.1177110852384,59.1304347826087,-28.2744277412509,28.2744277412509,NA,NA,0.828824444553955
"17","NAIVE_model","Carrot","Retail","Dambulla","Test",80.2173913043478,92.692567545952,80.2173913043478,22.1498626962177,22.1498626962177,NA,NA,0.559209562268484
"18","NAIVE_model","Carrot","Retail","Pettah","Test",96.5217391304348,102.566156338662,96.5217391304348,23.7662401902261,23.7662401902261,NA,NA,0.756808425819487
"19","NAIVE_model","Carrot","Wholesale","Dambulla","Test",80.2173913043478,92.692567545952,80.2173913043478,24.184554252287,24.184554252287,NA,NA,0.559209562268484
"20","NAIVE_model","Carrot","Wholesale","Pettah","Test",97.8260869565217,104.89244549413,97.8260869565217,27.3064439291268,27.3064439291268,NA,NA,0.728230826226183
"21","NAIVE_model","Green Chilli","Retail","Dambulla","Test",-427.391304347826,466.035491902756,431.739130434783,-71.8238053680314,72.1922652059091,NA,NA,0.75329056409976
"22","NAIVE_model","Green Chilli","Retail","Pettah","Test",-232.608695652174,297.188915016519,258.695652173913,-39.1432959233497,41.514837425326,NA,NA,0.725528008753213
"23","NAIVE_model","Green Chilli","Wholesale","Dambulla","Test",-427.391304347826,466.035491902756,431.739130434783,-75.8398877027466,76.217959536395,NA,NA,0.75329056409976
"24","NAIVE_model","Green Chilli","Wholesale","Pettah","Test",-222.826086956522,283.082796307401,248.913043478261,-43.0680840898232,45.6767797419971,NA,NA,0.711643519376658
"25","NAIVE_model","Lime","Retail","Dambulla","Test",-60.195652173913,65.9956209350946,60.195652173913,-42.0447300708976,42.0447300708976,NA,NA,0.825827391207037
"26","NAIVE_model","Lime","Retail","Pettah","Test",-24.5652173913043,41.9238439989963,24.5652173913043,-14.0096618357488,14.0096618357488,NA,NA,0.833421754440936
"27","NAIVE_model","Lime","Wholesale","Dambulla","Test",-60.1086956521739,66.1029189646885,60.1086956521739,-53.9330990830143,53.9330990830143,NA,NA,0.825845946799939
"28","NAIVE_model","Lime","Wholesale","Pettah","Test",-27.6086956521739,44.1464952570219,27.6086956521739,-22.1783047870004,22.1783047870004,NA,NA,0.850646719650927
"29","NAIVE_model","Potato (Imp)","Retail","Dambulla","Test",-1.67391304347826,17.1534549695187,15.0069565217391,-2.11159613332699,9.28124402319055,NA,NA,0.755880565335048
"30","NAIVE_model","Potato (Imp)","Retail","Pettah","Test",-11.0869565217391,14.7810101437475,11.0869565217391,-6.1541148093847,6.1541148093847,NA,NA,0.783339784113878
"31","NAIVE_model","Potato (Imp)","Wholesale","Dambulla","Test",-2.10869565217391,17.5295321002066,15.4417391304348,-2.95557504746104,10.9903748034768,NA,NA,0.780875464869627
"32","NAIVE_model","Potato (Imp)","Wholesale","Pettah","Test",0.91304347826087,11.0012912285628,7.78260869565217,0.105794016706494,4.67501772200564,NA,NA,0.45397101717399
"33","NAIVE_model","Pumpkin","Retail","Dambulla","Test",-5.17391304347826,19.5427687059857,16.0434782608696,-6.39944081832567,13.6123492702697,NA,NA,0.842015007875169
"34","NAIVE_model","Pumpkin","Retail","Pettah","Test",-13.0434782608696,24.5735610839745,13.0434782608696,-8.51118083968317,8.51118083968317,NA,NA,0.881249332240458
"35","NAIVE_model","Pumpkin","Wholesale","Dambulla","Test",-5.17391304347826,19.5427687059857,16.0434782608696,-9.54146654872724,18.5500327765377,NA,NA,0.842015007875169
"36","NAIVE_model","Pumpkin","Wholesale","Pettah","Test",-9.1304347826087,15.1800784783444,9.1304347826087,-8.76152832674572,8.76152832674572,NA,NA,0.84682016318319
"37","NAIVE_model","Snake gourd","Retail","Dambulla","Test",-16.304347826087,35.9297221035006,26.7391304347826,-7.53541763455799,10.8948629875269,NA,NA,0.448142202956674
"38","NAIVE_model","Snake gourd","Retail","Pettah","Test",-208.913043478261,216.986653346317,208.913043478261,-66.1487374899287,66.1487374899287,NA,NA,0.822711959359304
"39","NAIVE_model","Snake gourd","Wholesale","Dambulla","Test",-16.0869565217391,33.618353941547,24.3478260869565,-8.35791939930013,11.3922313408267,NA,NA,0.479049502611991
"40","NAIVE_model","Snake gourd","Wholesale","Pettah","Test",-207.173913043478,215.539139772601,207.173913043478,-78.2234140152322,78.2234140152322,NA,NA,0.808273503277506
"41","NAIVE_model","Tomato","Retail","Dambulla","Test",38.4782608695652,72.6158677712655,55,7.28274267465577,12.0280590300462,NA,NA,0.859332100939453
"42","NAIVE_model","Tomato","Retail","Pettah","Test",30.4347826086957,79.8548502243153,69.5652173913043,3.37522324801422,13.96873601544,NA,NA,0.816599159797232
"43","NAIVE_model","Tomato","Wholesale","Dambulla","Test",38.4782608695652,72.6158677712655,55,7.70212330005977,12.895250823496,NA,NA,0.859332100939453
"44","NAIVE_model","Tomato","Wholesale","Pettah","Test",45.6521739130435,75.2611556370621,67.3913043478261,8.23367897771414,15.2730164518342,NA,NA,0.757323307822031
"45","NAIVE_model","Potato (Local)","Retail","Dambulla","Test",39.2391304347826,44.9997732361436,39.2391304347826,11.3716616625919,11.3716616625919,NA,NA,0.723316487214385
"46","NAIVE_model","Potato (Local)","Retail","Pettah","Test",20.5217391304348,27.8630189693607,20.5217391304348,4.91344901923118,4.91344901923118,NA,NA,0.884418315365478
"47","NAIVE_model","Potato (Local)","Wholesale","Dambulla","Test",39.7826086956522,45.1580103154709,39.7826086956522,12.2547906480434,12.2547906480434,NA,NA,0.725743849591211
"48","NAIVE_model","Potato (Local)","Wholesale","Pettah","Test",48.4782608695652,54.8835904833842,49.3478260869565,12.2221066772237,12.4856112885544,NA,NA,0.850796799594416
