"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","SNAIVE_model","Beans","Retail","Dambulla","Test",-481.630434782609,510.674959492018,481.630434782609,-108.436468288727,108.436468288727,NA,NA,0.45896480951413
"2","SNAIVE_model","Beans","Retail","Pettah","Test",-452.173913043478,470.532682004962,452.173913043478,-81.1408049286279,81.1408049286279,NA,NA,0.227113006037923
"3","SNAIVE_model","Beans","Wholesale","Dambulla","Test",-481.630434782609,510.674959492018,481.630434782609,-116.552731951687,116.552731951687,NA,NA,0.45896480951413
"4","SNAIVE_model","Beans","Wholesale","Pettah","Test",-433.695652173913,452.305596539408,433.695652173913,-91.2881380969757,91.2881380969757,NA,NA,0.229846525003069
"5","SNAIVE_model","Big Onion (Imp)","Retail","Dambulla","Test",-13.1304347826087,26.5424152762263,21.7391304347826,-8.90042910342847,13.3820488673618,NA,NA,-0.050413323336677
"6","SNAIVE_model","Big Onion (Imp)","Retail","Pettah","Test",-29.1304347826087,48.3398696729728,42.464347826087,-17.520424049222,23.2871754449379,NA,NA,0.679913359305678
"7","SNAIVE_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-13.1304347826087,26.5424152762263,21.7391304347826,-10.2967390940572,15.3058638431081,NA,NA,-0.050413323336677
"8","SNAIVE_model","Big Onion (Imp)","Wholesale","Pettah","Test",-26.9565217391304,35.2572588887427,31.6086956521739,-20.0425867970807,22.6946133723492,NA,NA,0.709155576460643
"9","SNAIVE_model","Brinjal","Retail","Dambulla","Test",-258.478260869565,284.196201027144,258.478260869565,-101.565070568736,101.565070568736,NA,NA,0.750321434314097
"10","SNAIVE_model","Brinjal","Retail","Pettah","Test",-229.347826086957,257.935645276778,229.347826086957,-76.4722936420308,76.4722936420308,NA,NA,0.532198152094348
"11","SNAIVE_model","Brinjal","Wholesale","Dambulla","Test",-258.478260869565,284.196201027144,258.478260869565,-116.137951257293,116.137951257293,NA,NA,0.750321434314097
"12","SNAIVE_model","Brinjal","Wholesale","Pettah","Test",-233.695652173913,262.806039686405,233.695652173913,-98.2153198893998,98.2153198893998,NA,NA,0.558763921761113
"13","SNAIVE_model","Cabbage","Retail","Dambulla","Test",-40.2173913043478,46.585068423262,40.2173913043478,-19.1223910132016,19.1223910132016,NA,NA,0.53432925142622
"14","SNAIVE_model","Cabbage","Retail","Pettah","Test",-54.7826086956522,68.721927960504,54.7826086956522,-21.2103909385673,21.2103909385673,NA,NA,0.789769078782623
"15","SNAIVE_model","Cabbage","Wholesale","Dambulla","Test",-40.2173913043478,46.585068423262,40.2173913043478,-22.3250496243796,22.3250496243796,NA,NA,0.53432925142622
"16","SNAIVE_model","Cabbage","Wholesale","Pettah","Test",-54.7826086956522,68.721927960504,54.7826086956522,-26.3662151808645,26.3662151808645,NA,NA,0.789769078782623
"17","SNAIVE_model","Carrot","Retail","Dambulla","Test",109.782608695652,119.460868215423,109.782608695652,31.0240967229538,31.0240967229538,NA,NA,0.61945828780823
"18","SNAIVE_model","Carrot","Retail","Pettah","Test",112.608695652174,117.42201441623,112.608695652174,27.9621665538089,27.9621665538089,NA,NA,0.721041901806312
"19","SNAIVE_model","Carrot","Wholesale","Dambulla","Test",109.782608695652,119.460868215423,109.782608695652,33.9547171324379,33.9547171324379,NA,NA,0.61945828780823
"20","SNAIVE_model","Carrot","Wholesale","Pettah","Test",113.913043478261,119.459357796773,113.913043478261,32.1372378558947,32.1372378558947,NA,NA,0.728667266981167
"21","SNAIVE_model","Green Chilli","Retail","Dambulla","Test",-488.260869565217,558.825363994404,488.260869565217,-78.1919087943717,78.1919087943717,NA,NA,0.565866149825194
"22","SNAIVE_model","Green Chilli","Retail","Pettah","Test",-467.391304347826,553.982167174925,476.086956521739,-70.991370258226,71.7818840922181,NA,NA,0.512913856984866
"23","SNAIVE_model","Green Chilli","Wholesale","Dambulla","Test",-488.260869565217,558.825363994404,488.260869565217,-82.3744827395459,82.3744827395459,NA,NA,0.565866149825194
"24","SNAIVE_model","Green Chilli","Wholesale","Pettah","Test",-457.608695652174,540.288261764033,466.304347826087,-78.9998741174285,79.8694393348198,NA,NA,0.492256885066725
"25","SNAIVE_model","Lime","Retail","Dambulla","Test",-45.4130434782609,57.1924816433221,48.0217391304348,-32.7003215554551,34.0163614717071,NA,NA,0.667873125351295
"26","SNAIVE_model","Lime","Retail","Pettah","Test",-28.9130434782609,46.2389822364298,28.9130434782609,-16.0869565217391,16.0869565217391,NA,NA,0.774713742867242
"27","SNAIVE_model","Lime","Wholesale","Dambulla","Test",-45.3260869565217,57.3541776652074,47.9347826086956,-42.2764817235034,43.8273945787641,NA,NA,0.67128475551622
"28","SNAIVE_model","Lime","Wholesale","Pettah","Test",-31.9565217391304,48.4880083785851,31.9565217391304,-25.0109793588054,25.0109793588054,NA,NA,0.80051450820432
"29","SNAIVE_model","Potato (Imp)","Retail","Dambulla","Test",-15.2826086956522,23.4134331565004,20.2686956521739,-10.4944164464857,13.1318014888147,NA,NA,0.749380057848079
"30","SNAIVE_model","Potato (Imp)","Retail","Pettah","Test",-12.8260869565217,16.3188341442055,12.8260869565217,-7.06546093812213,7.06546093812213,NA,NA,0.677647248798999
"31","SNAIVE_model","Potato (Imp)","Wholesale","Dambulla","Test",-15.7173913043478,23.9640524264084,20.7034782608696,-12.5704240183644,15.5199963684659,NA,NA,0.764235584230103
"32","SNAIVE_model","Potato (Imp)","Wholesale","Pettah","Test",1,11.7132819445723,9.23304347826087,0.192949699309524,5.46436733054415,NA,NA,0.376454181008218
"33","SNAIVE_model","Pumpkin","Retail","Dambulla","Test",9.60869565217391,23.9483039246951,21.1165217391304,5.250703425472,16.2270682901985,NA,NA,0.763489377116196
"34","SNAIVE_model","Pumpkin","Retail","Pettah","Test",-10.4347826086957,24.0369080338151,14.3478260869565,-7.0981373614223,9.05465910055274,NA,NA,0.785771338645162
"35","SNAIVE_model","Pumpkin","Wholesale","Dambulla","Test",9.60869565217391,23.9483039246951,21.1165217391304,5.86791458370145,21.364713939719,NA,NA,0.763489377116196
"36","SNAIVE_model","Pumpkin","Wholesale","Pettah","Test",-8.26086956521739,14.5960089839952,8.69565217391304,-8.01459410155062,8.34904226208574,NA,NA,0.841128391417868
"37","SNAIVE_model","Snake gourd","Retail","Dambulla","Test",-72.3913043478261,83.5815231818092,76.7391304347826,-27.7827988322614,29.2083155820832,NA,NA,0.307721225787311
"38","SNAIVE_model","Snake gourd","Retail","Pettah","Test",-213.260869565217,221.228170409215,213.260869565217,-67.4378670399279,67.4378670399279,NA,NA,0.839410674788711
"39","SNAIVE_model","Snake gourd","Wholesale","Dambulla","Test",-72.1739130434783,82.1039785086967,76.5217391304348,-30.9527726916322,32.5338003596164,NA,NA,0.303572669050485
"40","SNAIVE_model","Snake gourd","Wholesale","Pettah","Test",-211.521739130435,219.610700796541,211.521739130435,-79.7041743035373,79.7041743035373,NA,NA,0.845576687841678
"41","SNAIVE_model","Tomato","Retail","Dambulla","Test",-41.304347826087,101.678405128942,83.9130434782609,-12.3647511450818,21.189663084536,NA,NA,0.648626893431422
"42","SNAIVE_model","Tomato","Retail","Pettah","Test",-95.6521739130435,150.402101974211,121.739130434783,-21.284469964574,25.7640483571959,NA,NA,0.515940463108361
"43","SNAIVE_model","Tomato","Wholesale","Dambulla","Test",-41.304347826087,101.678405128942,83.9130434782609,-13.5507288083763,22.9623831265962,NA,NA,0.648626893431422
"44","SNAIVE_model","Tomato","Wholesale","Pettah","Test",-84.7826086956522,144.755399238494,115.217391304348,-22.3928516415424,28.4358907280598,NA,NA,0.41130789374588
"45","SNAIVE_model","Potato (Local)","Retail","Dambulla","Test",57.5,64.373534462001,57.9347826086956,16.9193907323274,17.0619424073096,NA,NA,0.573623094103939
"46","SNAIVE_model","Potato (Local)","Retail","Pettah","Test",13.5652173913043,25.2660051727871,20.2895652173913,3.15760265747291,4.91899122526172,NA,NA,0.708994765726873
"47","SNAIVE_model","Potato (Local)","Wholesale","Dambulla","Test",58.0434782608696,64.4701968893885,58.0434782608696,18.1633016931103,18.1633016931103,NA,NA,0.567275722817475
"48","SNAIVE_model","Potato (Local)","Wholesale","Pettah","Test",53.1739130434783,58.9675035783343,53.1739130434783,13.4615939477496,13.4615939477496,NA,NA,0.827210541486912
"49","SNAIVE_model","Big Onion (Local)","Retail","Dambulla","Test",-26.9565217391304,43.6094431337386,34.4052173913043,-14.5202565773721,17.5209156720046,NA,NA,0.785556379922959
"50","SNAIVE_model","Big Onion (Local)","Retail","Pettah","Test",-81.304347826087,88.9158859968718,81.304347826087,-67.544349685144,67.544349685144,NA,NA,0.818988464951198
"51","SNAIVE_model","Big Onion (Local)","Wholesale","Dambulla","Test",-26.9565217391304,43.6094431337386,34.4052173913043,-16.2988269688707,19.562964995435,NA,NA,0.785556379922959
