"","Item","Type","Market","trend_strength","seasonal_strength_week","seasonal_peak_week","seasonal_trough_week","spikiness","linearity","curvature","stl_e_acf1","stl_e_acf10","acf1","acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","season_acf1","pacf5","diff1_pacf5","diff2_pacf5","season_pacf","zero_run_mean","nonzero_squared_cv","zero_start_prop","zero_end_prop","lambda_guerrero","kpss_stat","kpss_pvalue","pp_stat","pp_pvalue","ndiffs","nsdiffs","bp_stat","bp_pvalue","lb_stat","lb_pvalue","var_tiled_var","var_tiled_mean","shift_level_max","shift_level_index","shift_var_max","shift_var_index","shift_kl_max","shift_kl_index","spectral_entropy","n_crossing_points","longest_flat_spot","coef_hurst","stat_arch_lm","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41"
"1","Beans","Retail","Dambulla",0.970825501421724,0.203191198197234,2,4,0.329470549160084,6029.00906275838,1453.65007375595,0.277430843587072,0.273140224365943,0.96807674571102,7.46229158410917,-0.116949887030603,0.0224284856304121,-0.565611370893582,0.334800923874015,0.822871447091906,0.948974218510593,0.0207145194477186,0.59673441870436,0.0316705108492948,0,0.321999363196605,0,0,0.0786208572308671,19.8222116860493,0.01,-6.11782852271104,0.01,1,0,3223.87369441735,0,3226.68602971344,0,0.0203280515540699,0.957153824321058,425,3433,39732.1428571429,3429,28.4856202228959,3210,0.597413122457058,159,107,0.999859983208964,0.876859239886592,-5.60454789653748,-1.54854589905059,1.64415401049046,-1.65930975874871,-1.72886725694354,0.760923722221651,0.717116643597627,-1.06156234231455,-0.738546414246874,-2.0468378810424,0.642380408721123,0.0943899215678542,0.557255775232883,-0.649690367903276,-0.29326315359088,-0.337377397724365,-0.308818044613436,0.848279857762048,-0.364644362049445,0.0494203909669231,0.0920692153131591,-0.232892608747929,0.0383760504935473,0.120478486832757,-0.336712253326833,0.09538555473863,-0.0399525130073417,-0.117602466521972,0.00165192032280739,-0.0268840592700022,-0.0170183356097682,0.0369309680467519,0.040941605646486,0.0449639457778093,-0.00932985135072178,0.0356175353492152,-0.0245531494826328,-0.00968625830423025,0.00149476751547804,0.00571246322328561,2.22332183698987e-08
"2","Beans","Retail","Pettah",0.983079486208525,0.27095159994863,1,4,0.205433246869403,7313.59138609843,1314.62042533928,0.394650180013124,0.41915320519421,0.981219908366058,7.99746263646864,0.0816076462080962,0.0240671504424143,-0.451258885145576,0.208731487265377,0.864732546875196,0.979270070736975,0.0174379461751818,0.438595693723591,-0.0123951916335834,0,0.346680401287157,0,0,0.0923564596839398,19.9814671918585,0.01,-4.926097267505,0.01,1,0,3312.0062294942,0,3314.8954469087,0,0.0106652961322294,0.97955468853137,442.857142857143,3211,56963.4775095238,2719,54.8511551348303,3210,0.550015966717247,113,163,0.999913464864144,0.900831685190483,-1.51749755397699,0.413662163959831,3.40078344465969,-2.47111816416525,-0.722002784799501,0.84129817050593,1.03244409569132,-1.92312901109562,0.106525950611013,-0.290652860431606,0.427109947047305,-0.183509839102913,-0.60942696801378,0.715274084155403,-0.196071550710693,-0.0849837110457082,0.212009098781783,-0.54365904928831,0.0788740328626822,-0.526984479443115,-0.52281417272631,0.342630570030075,0.00095954878129777,0.102435981774827,0.081736138589812,0.205594488933989,0.124511851400893,-0.0238995550953398,-0.115332699137892,0.132230017131809,0.0528357927870139,-0.00849484069713536,-0.0263356967450936,0.0362801878167564,0.0834823152010447,-0.0253045025140192,-0.000282980146588177,0.0152831209310051,-0.0189935528788629,0.000842683391735842,-7.33019111401658e-10
"3","Beans","Wholesale","Dambulla",0.968667944411971,0.199920576222124,2,4,0.329027258368734,5665.5424787532,1547.16648976062,0.275488770523349,0.272508919805224,0.965854678736464,7.33320157651641,-0.119934162715901,0.0232323992340892,-0.565886492507059,0.334198647760965,0.812618165824299,0.944895178908777,0.0217016296851447,0.597058249912234,0.0272587691905239,0,0.372269034673626,0,0,0.144241894548751,18.5200134508092,0.01,-6.34658871996132,0.01,1,0,3209.09089590369,0,3211.89033547557,0,0.0223466419357098,0.953689464695627,425,3433,39732.1428571429,3429,30.8345916505197,3210,0.604419130657376,195,108,0.999859983208964,0.87617480705448,-6.24499896684696,-1.47352120684196,1.67812850781817,-1.73371003948337,-1.89342717003915,0.835037256918174,0.341281307449255,-0.887043589559872,-0.601834442759196,-2.08216160959387,0.783145112188446,-0.032478544169836,0.871868302662323,-0.798191485161539,-0.00418206605289562,-0.342652211293203,-0.0601989057874675,0.748726456548193,-0.10666410927341,0.33798437097698,0.179360053050144,-0.278372643896117,0.0712384229929959,-0.0781008805613706,-0.357071522263373,0.232509202641522,0.0846595065332916,-0.0933098984421964,0.00917437766624197,-0.0709892850368272,-0.00331599642254705,-0.00299514138807513,0.0574409217203311,0.0252102784639682,-0.0189472065801425,0.0141855444637499,-0.0064912514998322,0.0204230280192342,-0.00145555362369691,-0.0118721693774895,2.93831037722801e-09
"4","Beans","Wholesale","Pettah",0.981527738079566,0.276831215742675,1,4,0.177398613868329,6665.48063862207,1392.77668279188,0.383069399668668,0.391710514265861,0.979536024058444,7.87185232546375,0.0693514331534179,0.0224977782646278,-0.45695982093466,0.212181940547503,0.85595728329568,0.973842726902539,0.0153254004800587,0.449303114963384,-0.012416006563967,0,0.405449103294073,0,0,0.0689230553511511,19.1703103043527,0.01,-5.25095229190719,0.01,1,0,3300.6484291531,0,3303.52773862895,0,0.0118372279344053,0.975222430551523,442.857142857143,3211,47774.4894142857,2719,62.4881908191369,3210,0.5627676735805,143,91,0.999913464864144,0.894079052318837,-2.32027078615096,0.291866931922056,3.35898481319762,-2.63175937152497,-0.764570636135394,0.924089711338603,0.734574097360541,-1.51561317530584,0.078618537752395,-0.345801311193113,0.51449252577345,-0.438412978718791,-0.609347869680461,0.708036792920045,0.178597816936393,0.134867148123991,0.27447926140326,-0.67295213229001,0.232355585597129,-0.459697165724519,-0.495159667892764,0.230964553087041,-0.170762125193751,-0.163706175906297,0.136539095157438,0.16065137339216,0.194907347732768,0.0307733799463565,-0.0437472141459626,0.117532729027642,0.012542059177656,0.0576526615547107,0.00286202810588865,0.0401301552445012,-0.0490807647595017,-0.00991160272357881,0.00422181256299986,-0.000675256338431172,0.0155825544982242,0.00236364321540493,-4.91345276313121e-08
"5","Big Onion (Imp)","Retail","Dambulla",0.981199576986568,0.214515585077918,1,3,0.0300533095453958,2619.95768974628,33.3204167885415,0.296613486024279,0.344094091631932,0.981118753381942,8.82943512979241,-0.0934814966445962,0.0330304727157775,-0.513398526982952,0.265759980824812,0.928232722758244,0.995644971016607,0.050170671415337,0.597671626725548,0.057792244936278,0,0.291191131650627,0,0,-0.432841464126478,13.5312889366401,0.01,-4.26463692780183,0.01,1,0,3311.32338833781,0,3314.21201007814,0,0.0265209937142795,0.964927544312043,148.225714285714,2688,18303.119047619,2813,56.5478149243252,2832,0.477028901188419,143,265,0.999859983208964,0.919697009951021,-1.74695623973413,-0.984154976567639,0.447775430506357,1.10795990603754,1.54033009372507,-0.96113588027965,0.909370934310655,0.870495239286494,-0.80872684361554,-0.996159208557757,-1.27799891634483,-0.781760659526151,-0.925195976028102,-0.0780178072480164,1.07880384459031,-0.376195525986875,-0.335514144489503,0.613010561275295,-0.0232636913228029,0.205323870628425,0.0115075357190067,0.140399957000621,-0.149834602625586,0.183408248168526,0.0783536529220593,0.294130511952911,-0.346677502314199,-0.0975009302513152,-0.0609575247435957,-0.0502232229959995,0.0228365253561193,0.00199973540927494,-0.0633505193298589,-0.00663474963033179,0.0782297804078107,-0.0390943592816868,0.00821495345916426,0.0176979326048638,-0.00207829196042912,-0.00299962887932638,-5.17233911290363e-08
"6","Big Onion (Imp)","Retail","Pettah",0.993518276685936,0.189209938106477,1,4,0.0099293442964986,2879.52814464401,83.2263868288828,0.48281439562086,0.564823668520663,0.99400288837958,9.13778523284081,0.180713558749395,0.0634833887914518,-0.470502839781455,0.253241613847487,0.942571127388257,1.03832416202294,0.0581835873504246,0.406233231397062,0.0627595097518995,0,0.324653949368525,0,0,-0.11515721501,12.1843569819872,0.01,-3.70059697510559,0.01,1,0,3398.8635928479,0,3401.82857998908,0,0.00854589332707195,0.985482718385731,271.5,2834,22608.9388190476,2774,99.7851562971217,2777,0.465417838128724,65,224,0.999913464864144,0.970563905759525,2.1294380669088,0.918535789259316,2.28686036394985,2.21907273170043,1.99869328322389,0.306072259248197,0.0498939075086155,0.665539242866798,-0.468652586484284,-0.911385192360984,-1.35756498792613,-0.253197815625979,-0.0998873593655057,-0.103382578054054,-0.058949479097927,0.513484708217878,0.128164759309434,0.262613817928488,-1.00031625688364,-0.797653168615793,-0.231997008102392,0.0772077626295367,-0.107861748092346,0.0878134072970517,-0.491620114793216,-0.0805863899921433,0.277695616032364,0.206053963995424,-0.0548060806680335,0.101887962353735,-0.0987323330516492,-0.0947165230026942,0.0624045195437404,-0.0235355775108357,-0.0245922094779862,-0.015608140432542,-0.020402683898562,0.0126464898776281,0.00468409550652064,0.0079601756520869,2.41147039028816e-08
"7","Big Onion (Imp)","Wholesale","Dambulla",0.979339919163724,0.236132325893499,1,3,0.0287296131075247,2419.68753792578,-61.0360970765086,0.28705380287536,0.327500026372649,0.978525505301518,8.73240071636972,-0.10453497890087,0.0383813941027182,-0.509644368474007,0.266623022410603,0.923421521791439,0.995797331593927,0.057297366056717,0.615832336595674,0.0607339657142009,0,0.338766796866872,0,0,-0.361374028668711,12.3633908506988,0.01,-4.53249013696259,0.01,1,0,3293.84184596804,0,3296.7152177441,0,0.0317237077264168,0.960795222766093,148.225714285714,2688,15295.715347619,2813,59.4730756244705,2832,0.48868302366097,147,233,0.999859983208964,0.907710453518342,-2.44155661658323,-0.867776747413706,0.238671600287417,1.00241026370867,1.81710485172303,-1.06532317274595,0.719362861830998,0.73057457489423,-0.628710897885235,-0.924588770666725,-1.10666737556654,-1.06073646895391,-0.887283645006668,-0.0250267753140691,0.993012228424401,-0.0749006414616332,-0.229288382404514,0.202168609940284,-0.0352714365439409,0.236092058961492,-3.63798251193831e-05,-0.185474596641555,-0.0912519701011589,0.250661227543982,0.273714074611461,0.212502224114291,-0.286986025967577,-0.0961756485681843,-0.0737971143640272,-0.10317980190402,-0.0120815607013216,-0.0210476256289471,-0.0210882881805341,-0.00546194601684575,-0.00920187826261253,0.0435113741392841,0.0338076800884017,-0.00051285581101327,0.0134701298182636,0.00956874627544583,3.21814780652915e-08
"8","Big Onion (Imp)","Wholesale","Pettah",0.992810157870709,0.230814406237016,5,1,0.0061412030017376,2393.61426392785,-121.196708898251,0.52129478315939,0.639741025392936,0.993343994889296,9.01746175682747,0.23434040575139,0.0813320274337515,-0.417367872346626,0.196446008555597,0.934446871368245,1.05071154867137,0.0716688128018628,0.356168865831382,0.0372304778933177,0,0.358602788529986,0,0,-0.232659749360862,11.1837489857972,0.01,-3.99137075041226,0.01,1,0,3394.35908510823,0,3397.32014275735,0,0.0131459990162091,0.981017737807253,265.214285714286,2834,14756.9523809524,2774,60.4444272056382,2832,0.486884906765535,79,374,0.999913464864144,0.960727255818924,2.22285456483765,2.11661584589361,1.95718048726335,2.91020746930989,2.22765477190329,-0.0630602492154454,0.397094273316453,-0.362108214597979,-2.26218030549752,0.778627882320302,0.947098077947216,-0.871881917371669,-0.0655705712463742,0.393718725170768,0.627770132853156,1.0844948802103,-0.105388450871827,-0.108637382850293,-0.0563652878944295,0.363238747139422,-0.231139041543611,-0.393714891216573,0.244087835684562,-0.099349794779844,-0.227282072953821,0.0825931835457931,-0.00747028323006595,0.216883518531474,0.123895536853704,0.0633678706614155,-0.0550553908268016,0.132605429135764,0.0340509478915281,0.107282810105233,-0.0833419602774126,0.00719894615223512,0.0528168130317974,-0.00935735400023781,-0.00122409131191451,-0.0057523454968547,-2.30597628746114e-08
"9","Brinjal","Retail","Dambulla",0.979821522410494,0.243243553424963,1,4,0.0393712192881018,4673.52827378464,474.866563921698,0.176060957691762,0.170955925116379,0.97401537731756,8.00650290674924,-0.149019786453195,0.0314652989850766,-0.562291898226904,0.331893076530567,0.868688749541544,0.970293419020968,0.0278992436862002,0.660423434857251,0.00371533253435533,0,0.388428627590841,0,0,0.0684717507414678,20.4013147490182,0.01,-5.34381948685052,0.01,1,0,3263.54848606368,0,3266.39543152986,0,0.0109424521013038,0.967616567382311,275,3127,14048.0928571429,3123,28.2332639220284,2741,0.575170599420204,131,251,0.999859983208964,0.89863497559787,-3.80935946801749,-2.12353371862411,0.273175738374061,-1.10423491128203,-0.778981798765556,0.543057247866943,0.779653138621587,-0.652101062079066,0.0440841825362598,-0.322247491667034,-0.298606854732717,0.567623489760459,-0.680929895632451,-0.531559275306649,-0.325388428766187,-0.0489354755856375,0.225963088404328,-0.135876548421121,0.197086298565961,-0.0143364013404457,0.154577833233527,-0.276615351213467,0.0876460859140383,0.354415440730696,-0.0619178537784395,-0.390386520876251,-0.220630242721432,0.301766397159346,0.236392895748681,0.00312794211188592,0.0616522713985613,0.0386851373085526,-0.0935133502314329,-0.0192268972440775,-0.0186959786722648,-0.0107469327063604,0.0195710744952453,-0.00852503378956026,-0.00490174355106967,0.00612855498060349,-1.21688914278586e-08
"10","Brinjal","Retail","Pettah",0.987898031936926,0.242629655468324,3,5,0.0424086153132135,5893.88349338049,573.658381471289,0.436027502603693,0.42341058999672,0.987946621292205,8.41139421279383,0.148887257498997,0.036450687043894,-0.451228362844339,0.212895850984958,0.892775193792753,1.00654032035663,0.0324861463628496,0.421700162308004,-0.0302932700163844,0,0.388014625050075,0,0,-0.118595638191407,22.3326573537122,0.01,-4.96493038406469,0.01,1,0,3357.57253123803,0,3360.5014982615,0,0.0074049489766938,0.97683380901689,327.142857142857,3129,31436.3857142857,3133,44.4963032362906,2699,0.527114364401704,65,256,0.999913464864144,0.930840237472214,0.127042104132596,0.544029422840557,3.01373044819162,-0.752287103306792,-0.265607012416902,0.930348203520821,0.996995119748876,-0.886773403436245,-0.256205717325438,0.895768367900755,0.681049303457389,0.991749996327395,-0.875342307048605,1.01953497197106,-0.435814101024286,0.329914394148066,-0.601541632526156,0.0109931607385572,-0.377176303176609,0.293914756955325,0.0106817554921966,-0.390975302268786,-0.327210342736972,-0.0331179886562763,0.145958374642066,0.259960478002411,-0.0625933331904266,0.0121024446086274,0.0360537275187118,-0.121127562657593,-0.03792022292905,-0.0734397272279262,-0.0221302323261598,-0.0610134420074512,-0.0419645797120979,0.0133386572424575,0.0161807986549403,-0.00340927390127841,-0.0182571107527757,0.00457206530864639,-1.84245429655242e-09
